Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
716,Marcos Victor,br BRA,DF,Ceará,20,2001,6,4,357,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,d714fc5a
717,Arturo Vidal,cl CHI,MF,Flamengo,34,1987,15,9,836,9.3,2,1,1,1,1,2,0,0.22,0.11,0.32,0.11,0.22,1.8,1.0,0.9,2.0,0.20,0.10,0.30,0.11,0.21,Matches,67cdbc0e
718,Caio Vidal,br BRA,FWMF,Internacional,21,2000,7,1,156,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.15,0.00,0.15,0.15,0.15,Matches,599ab970
719,Elvis Vieira Araújo,br BRA,MFFW,Goiás,31,1990,13,11,849,9.4,4,2,1,3,3,4,0,0.42,0.21,0.64,0.11,0.32,2.9,0.5,1.8,2.4,0.31,0.19,0.50,0.06,0.25,Matches,b5391b63
720,Gabriel Vieira,br BRA,FW,Palmeiras,19,2002,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,63904ba9
721,Luan Vieira,br BRA,MFFW,Santos,28,1993,8,4,452,5.0,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.5,0.5,0.3,0.9,0.10,0.07,0.17,0.10,0.17,Matches,c4f6bf06
722,Marcos Vinicios Sorriso,br BRA,FW,Bragantino,20,2001,31,15,1351,15.0,2,1,2,0,0,4,0,0.13,0.07,0.20,0.13,0.20,3.3,3.3,1.4,4.7,0.22,0.09,0.31,0.22,0.31,Matches,e816a8ee
723,Vinícius,br BRA,FWMF,Ceará,30,1991,31,28,2399,26.7,3,2,3,0,0,9,2,0.11,0.08,0.19,0.11,0.19,4.0,4.0,5.7,9.8,0.15,0.21,0.36,0.15,0.36,Matches,ee01c84d
724,Vinicius,br BRA,MFDF,Santos,22,1999,5,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches,ab3ef9c4
725,Vinícius,br BRA,MFFW,Goiás,28,1993,25,22,1949,21.7,2,4,2,0,0,1,0,0.09,0.18,0.28,0.09,0.28,1.9,1.9,3.5,5.4,0.09,0.16,0.25,0.09,0.25,Matches,b6bd2b80
726,Vinícius,br BRA,FW,Botafogo (RJ),22,1999,16,9,870,9.7,2,0,2,0,0,3,0,0.21,0.00,0.21,0.21,0.21,2.0,2.0,0.8,2.8,0.20,0.08,0.29,0.20,0.29,Matches,ecce7383
727,Vinicius,br BRA,MF,Cuiabá,22,1999,1,0,10,0.1,0,1,0,0,0,0,0,0.00,9.00,9.00,0.00,9.00,0.0,0.0,0.0,0.0,0.00,0.24,0.24,0.00,0.24,Matches,badaed00
728,Caio Vinícius,br BRA,MF,Goiás,23,1999,27,18,1559,17.3,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.4,0.06,0.02,0.08,0.06,0.08,Matches,8529df9f
729,Mateus Vital,br BRA,FWMF,Corinthians,23,1998,16,7,742,8.2,0,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.6,0.6,0.8,1.4,0.07,0.10,0.17,0.07,0.17,Matches,db9c8fa4
730,Vitão,br BRA,DF,Internacional,21,2000,31,31,2787,31.0,2,0,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.0,1.0,0.0,1.0,0.03,0.00,0.03,0.03,0.03,Matches,d4f034db
731,Vitinho,br BRA,FW,Atl Paranaense,22,1999,25,17,1427,15.9,2,0,2,0,0,3,1,0.13,0.00,0.13,0.13,0.13,3.2,3.2,0.8,4.0,0.20,0.05,0.26,0.20,0.26,Matches,06d4b2e4
732,Vitinho,br BRA,FWMF,Flamengo,28,1993,11,4,480,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2.1,2.1,0.6,2.8,0.40,0.12,0.52,0.40,0.52,Matches,a9e68c94
733,Vitinho,br BRA,FWMF,Avaí,21,2000,8,3,362,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.11,0.05,0.17,0.11,0.17,Matches,5e5cc7a9
734,João Vitor,br BRA,MF,Coritiba,21,2000,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b8d3d5ee
735,Vladimir,br BRA,GK,Avaí,32,1989,23,22,2025,22.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,bbae502c
736,Max Walef,br BRA,GK,Fortaleza,28,1993,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6411a48d
737,Walter,br BRA,GK,Cuiabá,34,1987,28,28,2469,27.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8bae322b
738,Wanderson,br BRA,DF,Atl Goianiense,30,1991,28,27,2446,27.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,1.1,0.03,0.01,0.04,0.03,0.04,Matches,f612025c
739,Wanderson,br BRA,FWMF,Internacional,27,1994,26,21,1605,17.8,6,3,6,0,0,3,0,0.34,0.17,0.50,0.34,0.50,3.3,3.2,3.1,6.2,0.18,0.17,0.36,0.18,0.35,Matches,5da33b33
740,Warley,br BRA,FWMF,Coritiba,22,1999,15,7,560,6.2,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches,8f385e2e
741,Welington,br BRA,DFFW,São Paulo,20,2001,32,17,1671,18.6,0,6,0,0,0,5,1,0.00,0.32,0.32,0.00,0.32,0.9,0.9,2.4,3.3,0.05,0.13,0.18,0.05,0.18,Matches,a7f95b1f
742,José Welison,br BRA,MF,Fortaleza,26,1995,27,19,1723,19.1,2,0,2,0,0,6,0,0.10,0.00,0.10,0.10,0.10,1.0,0.9,0.8,1.8,0.05,0.04,0.09,0.05,0.09,Matches,b6cb4d16
743,Weliton,cl CHI,MF,Juventude,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,6.10,0.00,6.10,6.10,6.10,Matches,721322fb
744,Wellington,br BRA,DF,Avaí,26,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.08,0.00,0.09,0.08,0.09,Matches,ed36f825
745,Welliton,br BRA,MFFW,Bragantino,21,2000,6,0,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.24,0.24,0.00,0.24,Matches,d1a7e953
746,Wendell,br BRA,MF,Ceará,19,2002,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,82b7e058
747,Werik,br BRA,FW,Bragantino,20,2001,8,7,515,5.7,3,1,3,0,0,4,0,0.52,0.17,0.70,0.52,0.70,2.6,2.6,0.8,3.4,0.46,0.14,0.60,0.46,0.60,Matches,8b20ba5f
748,Werton,br BRA,FW,Flamengo,18,2003,2,0,29,0.3,1,0,1,0,0,0,0,3.10,0.00,3.10,3.10,3.10,0.2,0.2,0.0,0.2,0.71,0.00,0.71,0.71,0.71,Matches,d07bde9d
749,Wescley,br BRA,MF,Ceará,30,1991,2,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,5a43c680
750,Wesley,br BRA,FW,Palmeiras,22,1999,19,6,649,7.2,1,1,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,2.3,2.3,1.1,3.4,0.32,0.16,0.48,0.32,0.48,Matches,434de3a3
751,Weverson,br BRA,MF,Bragantino,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.07,0.25,0.18,0.25,Matches,b9829bf7
752,Weverton,br BRA,DF,Internacional,22,1999,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,6ae59cc2
753,Wéverton,br BRA,GK,Palmeiras,34,1987,34,34,3060,34.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,81be82e9
754,Rafael William,br BRA,GK,Coritiba,20,2001,6,6,540,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.0,0.0,0.4,0.4,0.00,0.06,0.06,0.00,0.06,Matches,eb9f6c10
755,Willian,br BRA,FWMF,Fluminense,35,1986,28,3,474,5.3,3,1,3,0,0,2,0,0.57,0.19,0.76,0.57,0.76,1.5,1.5,0.5,2.0,0.29,0.09,0.38,0.29,0.38,Matches,1f85d0c8
756,Willian,br BRA,FW,Corinthians,33,1988,14,10,828,9.2,0,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.7,0.7,1.2,1.8,0.07,0.13,0.20,0.07,0.20,Matches,8b9ebd03
757,Xavier,br BRA,MF,Corinthians,21,2000,5,2,163,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,f16ed217
758,Samuel Xavier,br BRA,DF,Fluminense,31,1990,33,32,2826,31.4,2,2,2,0,0,5,0,0.06,0.06,0.13,0.06,0.13,1.7,1.7,4.0,5.8,0.05,0.13,0.18,0.05,0.18,Matches,0c870df5
759,Yago,br BRA,MFDF,Fluminense,26,1995,21,15,1131,12.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,1.4,3.4,0.16,0.11,0.27,0.16,0.27,Matches,e2add0e7
760,Ytalo,br BRA,FW,Bragantino,34,1988,11,7,625,6.9,3,0,3,0,0,0,0,0.43,0.00,0.43,0.43,0.43,1.3,1.3,0.3,1.5,0.18,0.04,0.22,0.18,0.22,Matches,423e3d0b
761,Marcos Ytalo,br BRA,DF,Ceará,25,1996,2,1,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.08,0.07,0.15,0.08,0.15,Matches,70053afc
762,Vinícius Zanocelo,br BRA,MF,Santos,21,2001,28,26,2004,22.3,3,0,3,0,0,8,0,0.13,0.00,0.13,0.13,0.13,3.3,3.3,1.4,4.6,0.15,0.06,0.21,0.15,0.21,Matches,27457e83
763,Federico Zaracho,ar ARG,MFFW,Atlético Mineiro,23,1998,26,24,1884,20.9,2,2,2,0,0,3,0,0.10,0.10,0.19,0.10,0.19,3.9,3.9,1.9,5.7,0.18,0.09,0.27,0.18,0.27,Matches,803d5265
