Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
650,Matheus Santos,br BRA,MF,Goiás,23,1998,1,1,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,48125180
651,Rafael Santos,br BRA,DF,Coritiba,23,1998,15,13,1145,12.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.02,0.07,0.09,0.02,0.09,Matches,c72a6057
652,Mateus Sarará,br BRA,MF,Avaí,19,2002,8,5,429,4.8,1,0,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches,1b4c1c9c
653,Renzo Saravia,ar ARG,DFMF,Botafogo (RJ),28,1993,25,22,1814,20.2,0,2,0,0,0,10,0,0.00,0.10,0.10,0.00,0.10,1.4,1.4,0.7,2.1,0.07,0.03,0.10,0.07,0.10,Matches,cf316639
654,Eduardo Sasha,br BRA,FWMF,Atlético Mineiro,29,1992,27,16,1291,14.3,3,1,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,4.2,4.2,1.7,5.9,0.30,0.12,0.41,0.30,0.41,Matches,b938b871
655,Lucas Sasha,br BRA,MF,Fortaleza,31,1990,19,15,1270,14.1,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.8,0.8,0.2,0.9,0.06,0.01,0.07,0.06,0.07,Matches,2e2ec9cf
656,Gustavo Sauer,br BRA,FWMF,Botafogo (RJ),28,1993,9,4,287,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.09,0.17,0.26,0.09,0.26,Matches,fd53959e
657,Jefferson Savarino,ve VEN,FW,Atlético Mineiro,25,1996,3,1,90,1.0,2,0,2,0,0,0,0,2.00,0.00,2.00,2.00,2.00,1.1,1.1,0.0,1.2,1.13,0.05,1.18,1.13,1.18,Matches,91721722
658,Sávio,br BRA,FWMF,Atlético Mineiro,17,2004,8,2,212,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,0.6,0.6,0.2,0.8,0.26,0.08,0.34,0.26,0.34,Matches,fe6e7156
659,Savio,br BRA,DF,Goiás,26,1995,11,11,850,9.4,0,1,0,0,0,6,1,0.00,0.11,0.11,0.00,0.11,0.2,0.2,1.4,1.6,0.02,0.15,0.17,0.02,0.17,Matches,3e8c6e2c
660,Gustavo Scarpa,br BRA,MFFW,Palmeiras,28,1994,35,31,2575,28.6,7,13,3,4,5,3,0,0.24,0.45,0.70,0.10,0.56,10.1,6.2,12.0,18.1,0.35,0.42,0.77,0.22,0.63,Matches,2964fd20
661,Cleiton Schwengber,br BRA,GK,Bragantino,24,1997,37,37,3330,37.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,d24ae824
662,Shaylon,br BRA,FWMF,Atl Goianiense,24,1997,28,15,1354,15.0,3,0,3,0,0,3,0,0.20,0.00,0.20,0.20,0.20,1.7,1.7,2.7,4.4,0.11,0.18,0.29,0.11,0.29,Matches,69c11ef0
663,Sidcley,br BRA,DFMF,Cuiabá,28,1993,7,4,333,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.1,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches,a5e96539
664,Sidimar,br BRA,DF,Goiás,29,1992,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches,080fc1f0
