,Player,Nation,Position,Club,Age,Born,Match Played,Starts,Minutes Played,90s,Goals,Assist,G-PK,Penalty Kicks,PKatt,Yellow Card,Red Card,Goals/90,Assist/90,G+A/90,G-PK/90,G+A-PK,xG,npxG,xA,xAG,Assist-xAG,npxG+xAG,xG/90,xA/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Shots Total,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK(Shot),npxG/Sh,G-xG,np:G-xG,Passes Completed,Passes Attempted,Pass Completion%,TotDist,PrgDist,Passes Completed(Short),Passes Attempted(Short),Passes Completion%(Short),Passes Completed(Medium),Passes Attempted(Medium),Passes Completion%(Medium),Passes Completed(Long),Passes Attempted(Long),Passes Completion%(Long),Key Passes,Completed Passes to Attacking Third,Completed Passes to Penalty Area,Completed Crosses to Penalty Are,Progressive Pass Completed,Live Ball Passes,Dead Ball Passes,Passes from Free Kick,TB,Passes 40yds+,Crosses,Throw-ins Taken,Corner Kick,Inswinging Corner Kick,Outswinging Corner Kick,Straight Corner Kick,Passes leading to Offside,Passes Blocked,Shots Creating Action,SCA/90,PassLive(SCA),PassDead(SCA),Dribble(SCA),Shot(SCA),Fouls Drawn(SCA),Defensive Action(SCA),Goals Creating Action,GCA/90,PassLive(GCA),PassDead(GCA),Dribble(GCA),Shot(GCA),Fouls Drawn(GCA),Defensive Action(GCA),Touches,Touches in Defensive Penalty Area,Touches in Defensive 3rd,Touches in Middle 3rd,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Live Ball Touches,Dribble Success,Dribble Attempted,Dribble Success%,Mis,Ball Lost (Tackled),Passes Received,Progressive Pass Received,Tackles Attempted,Tackles Won,Tackles in Defensive 3rd,Tackles in Middle 3rd,Tackles in Attacking 3rd,Tackle Won (vsDribble),Tackle Attempted (vsDribble),Tackle% (vsDribble),Dribbled Past (vsDribble),Blocks,Shots Blocked,Pass Blocked,Interception,Tackle + Interception,Clearance,Error Leads to Shot
34,Jhon Arias,co COL,FWMF,Fluminense,24,1997,33,31,2663,29.6,7,10,6,1,1,4,0,0.24,0.34,0.57,0.2,0.54,3.3,2.5,6.5,7.1,2.9,9.6,0.11,0.21959459459459457,0.24,0.35,0.08,0.32,40,14,35.0,1.35,0.47,0.15,0.43,19.3,5.0,0.06,3.7,3.5,1536.0,1851.0,83.0,20131.0,5846.0,975.0,1059.0,92.1,374.0,456.0,82.0,71.0,151.0,47.0,72.0,118.0,51.0,9.0,95.0,1640.0,206.0,55.0,2.0,8.0,172,44.0,107.0,34.0,39.0,1.0,5.0,35.0,140.0,4.73,89.0,30.0,8.0,3.0,9.0,1.0,13.0,0.44,7.0,4.0,1.0,1.0,0.0,0.0,2174.0,34.0,279.0,916.0,1011.0,88.0,2173.0,72.0,136.0,52.9,73.0,79.0,1643.0,169.0,48.0,31,14.0,19.0,15.0,21.0,41.0,51.2,20.0,33.0,2.0,31.0,7,55.0,19.0,0.0
37,Artur,br BRA,FWMF,Bragantino,23,1998,33,32,2787,31.0,6,6,6,0,0,3,0,0.19,0.19,0.39,0.19,0.39,6.4,6.4,5.7,5.9,0.1,12.3,0.21,0.18387096774193548,0.19,0.4,0.21,0.4,81,25,30.9,2.62,0.81,0.07,0.24,18.9,4.0,0.08,-0.4,-0.4,830.0,1161.0,71.5,13273.0,3457.0,408.0,494.0,82.6,305.0,396.0,77.0,72.0,169.0,42.6,77.0,52.0,43.0,13.0,71.0,995.0,159.0,35.0,7.0,4.0,160,16.0,104.0,71.0,12.0,0.0,7.0,27.0,160.0,5.16,102.0,26.0,8.0,13.0,10.0,1.0,13.0,0.42,6.0,2.0,1.0,2.0,2.0,0.0,1499.0,16.0,152.0,542.0,826.0,105.0,1499.0,37.0,72.0,51.4,74.0,37.0,1017.0,187.0,29.0,18,11.0,12.0,6.0,13.0,34.0,38.2,21.0,32.0,8.0,24.0,15,44.0,16.0,0.0
40,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,30,6,1134,12.6,1,1,1,0,0,9,0,0.08,0.08,0.16,0.08,0.16,2.2,2.2,1.6,2.0,-1.0,4.2,0.17,0.126984126984127,0.16,0.33,0.17,0.33,22,5,22.7,1.75,0.4,0.05,0.2,18.4,0.0,0.1,-1.2,-1.2,172.0,293.0,58.7,2499.0,564.0,94.0,120.0,78.3,64.0,105.0,61.0,6.0,28.0,21.4,14.0,8.0,7.0,5.0,7.0,286.0,5.0,1.0,1.0,1.0,55,4.0,0.0,0.0,0.0,0.0,2.0,20.0,19.0,1.5,13.0,0.0,3.0,1.0,1.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,481.0,7.0,77.0,154.0,260.0,54.0,481.0,19.0,62.0,30.6,44.0,24.0,308.0,85.0,24.0,16,9.0,12.0,3.0,8.0,29.0,27.6,21.0,17.0,2.0,15.0,10,34.0,5.0,0.0
41,Renato Augusto,br BRA,MF,Corinthians,33,1988,25,16,1402,15.6,1,3,1,0,0,0,0,0.06,0.19,0.26,0.06,0.26,1.4,1.4,2.6,3.7,-0.7,5.1,0.09,0.16666666666666669,0.24,0.33,0.09,0.33,35,10,28.6,2.25,0.64,0.03,0.1,22.6,1.0,0.04,-0.4,-0.4,840.0,1029.0,81.6,14347.0,4132.0,410.0,463.0,88.6,318.0,368.0,86.4,89.0,145.0,61.4,37.0,110.0,14.0,0.0,87.0,922.0,105.0,24.0,3.0,14.0,75,8.0,55.0,22.0,19.0,0.0,2.0,15.0,78.0,5.01,54.0,14.0,4.0,3.0,3.0,0.0,5.0,0.32,4.0,1.0,0.0,0.0,0.0,0.0,1202.0,18.0,106.0,680.0,426.0,36.0,1202.0,14.0,26.0,53.8,38.0,9.0,894.0,72.0,30.0,15,10.0,11.0,9.0,10.0,24.0,41.7,14.0,13.0,1.0,12.0,14,44.0,9.0,1.0
42,Auremir,br BRA,MF,Goiás,30,1991,25,19,1480,16.4,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.1,-0.1,0.6,0.03,0.012195121951219514,0.01,0.04,0.03,0.04,7,2,28.6,0.43,0.12,0.0,0.0,20.8,0.0,0.07,-0.5,-0.5,440.0,558.0,78.9,8042.0,2462.0,188.0,224.0,83.9,195.0,233.0,83.7,50.0,76.0,65.8,4.0,42.0,3.0,0.0,36.0,540.0,15.0,13.0,1.0,3.0,3,1.0,0.0,0.0,0.0,0.0,3.0,9.0,18.0,1.1,11.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,53.0,238.0,411.0,78.0,8.0,719.0,3.0,8.0,37.5,21.0,8.0,408.0,6.0,46.0,29,31.0,15.0,0.0,13.0,26.0,50.0,13.0,14.0,7.0,7.0,26,72.0,27.0,0.0
45,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,36,30,2274,25.3,4,2,4,0,0,3,1,0.16,0.08,0.24,0.16,0.24,4.1,4.1,2.6,3.1,-1.1,7.2,0.16,0.10276679841897234,0.12,0.28,0.16,0.28,65,20,30.8,2.57,0.79,0.06,0.2,19.0,0.0,0.06,-0.1,-0.1,588.0,846.0,69.5,9266.0,2814.0,311.0,398.0,78.1,184.0,251.0,73.3,54.0,96.0,56.3,36.0,51.0,26.0,3.0,69.0,804.0,38.0,5.0,1.0,10.0,50,11.0,21.0,6.0,1.0,0.0,4.0,29.0,80.0,3.17,63.0,9.0,4.0,2.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,1172.0,28.0,183.0,457.0,558.0,97.0,1172.0,31.0,76.0,40.8,65.0,37.0,804.0,132.0,36.0,18,14.0,13.0,9.0,12.0,40.0,30.0,28.0,31.0,2.0,29.0,14,50.0,23.0,1.0
49,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,13,13,1080,12.0,3,0,3,0,0,2,0,0.25,0.0,0.25,0.25,0.25,1.1,1.1,0.3,0.0,0.0,1.1,0.09,0.024999999999999998,0.0,0.09,0.09,0.09,11,5,45.5,0.92,0.42,0.27,0.6,10.3,0.0,0.1,1.9,1.9,490.0,621.0,78.9,9758.0,4567.0,144.0,168.0,85.7,294.0,330.0,89.1,48.0,103.0,46.6,0.0,22.0,0.0,0.0,30.0,596.0,21.0,20.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.67,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,95.0,424.0,310.0,20.0,15.0,752.0,2.0,3.0,66.7,2.0,0.0,455.0,1.0,15.0,11,12.0,3.0,0.0,6.0,14.0,42.9,8.0,12.0,10.0,2.0,12,27.0,58.0,0.0
51,Léo Baptistão,br BRA,FWMF,Santos,29,1992,17,16,1137,12.6,5,1,5,0,0,2,0,0.4,0.08,0.47,0.4,0.47,6.5,6.5,2.1,2.5,-1.5,9.0,0.51,0.16666666666666669,0.2,0.71,0.51,0.71,38,12,31.6,3.01,0.95,0.13,0.42,15.9,0.0,0.17,-1.5,-1.5,219.0,335.0,65.4,3479.0,821.0,120.0,149.0,80.5,71.0,105.0,67.6,16.0,29.0,55.2,14.0,21.0,4.0,1.0,20.0,328.0,3.0,0.0,1.0,6.0,15,3.0,0.0,0.0,0.0,0.0,4.0,18.0,32.0,2.54,17.0,0.0,5.0,6.0,3.0,1.0,4.0,0.32,1.0,0.0,2.0,1.0,0.0,0.0,492.0,19.0,71.0,227.0,206.0,52.0,492.0,18.0,34.0,52.9,22.0,20.0,329.0,69.0,20.0,9,5.0,10.0,5.0,8.0,25.0,32.0,17.0,13.0,3.0,10.0,7,27.0,17.0,0.0
52,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,30,26,2161,24.0,4,2,4,0,0,12,0,0.17,0.08,0.25,0.17,0.25,3.4,3.4,1.1,1.4,0.6,4.9,0.14,0.04583333333333334,0.06,0.2,0.14,0.2,47,16,34.0,1.96,0.67,0.09,0.25,21.0,0.0,0.07,0.6,0.6,1015.0,1149.0,88.3,18749.0,5151.0,431.0,472.0,91.3,446.0,483.0,92.3,119.0,146.0,81.5,17.0,108.0,10.0,1.0,95.0,1110.0,37.0,30.0,0.0,18.0,7,7.0,0.0,0.0,0.0,0.0,2.0,16.0,59.0,2.46,47.0,0.0,4.0,2.0,3.0,3.0,5.0,0.21,4.0,0.0,0.0,0.0,1.0,0.0,1406.0,44.0,356.0,841.0,226.0,31.0,1406.0,18.0,28.0,64.3,25.0,10.0,959.0,26.0,52.0,37,26.0,21.0,5.0,19.0,59.0,32.2,40.0,30.0,10.0,20.0,35,87.0,29.0,0.0
54,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,29,22,2047,22.7,11,1,10,1,3,11,1,0.48,0.04,0.53,0.44,0.48,11.1,8.7,5.2,4.6,-3.6,13.3,0.49,0.2290748898678414,0.2,0.69,0.38,0.59,72,23,31.9,3.17,1.01,0.14,0.43,16.2,0.0,0.12,-0.1,1.3,586.0,721.0,81.3,9447.0,2201.0,299.0,337.0,88.7,224.0,255.0,87.8,44.0,72.0,61.1,30.0,50.0,49.0,6.0,78.0,645.0,73.0,3.0,7.0,4.0,34,5.0,21.0,3.0,4.0,1.0,3.0,18.0,66.0,2.9,51.0,3.0,2.0,6.0,4.0,0.0,6.0,0.26,4.0,0.0,1.0,1.0,0.0,0.0,864.0,2.0,20.0,319.0,528.0,112.0,861.0,14.0,27.0,51.9,32.0,19.0,707.0,145.0,10.0,5,2.0,5.0,3.0,5.0,18.0,27.8,13.0,0.0,0.0,0.0,2,12.0,2.0,0.0
