,Player,Nation,Position,Club,Age,Born,Match Played,Starts,Minutes Played,90s,Goals,Assist,G-PK,Penalty Kicks,PKatt,Yellow Card,Red Card,Goals/90,Assist/90,G+A/90,G-PK/90,G+A-PK,xG,npxG,xA,xAG,Assist-xAG,npxG+xAG,xG/90,xA/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Shots Total,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK(Shot),npxG/Sh,G-xG,np:G-xG,Passes Completed,Passes Attempted,Pass Completion%,TotDist,PrgDist,Passes Completed(Short),Passes Attempted(Short),Passes Completion%(Short),Passes Completed(Medium),Passes Attempted(Medium),Passes Completion%(Medium),Passes Completed(Long),Passes Attempted(Long),Passes Completion%(Long),Key Passes,Completed Passes to Attacking Third,Completed Passes to Penalty Area,Completed Crosses to Penalty Are,Progressive Pass Completed,Live Ball Passes,Dead Ball Passes,Passes from Free Kick,TB,Passes 40yds+,Crosses,Throw-ins Taken,Corner Kick,Inswinging Corner Kick,Outswinging Corner Kick,Straight Corner Kick,Passes leading to Offside,Passes Blocked,Shots Creating Action,SCA/90,PassLive(SCA),PassDead(SCA),Dribble(SCA),Shot(SCA),Fouls Drawn(SCA),Defensive Action(SCA),Goals Creating Action,GCA/90,PassLive(GCA),PassDead(GCA),Dribble(GCA),Shot(GCA),Fouls Drawn(GCA),Defensive Action(GCA),Touches,Touches in Defensive Penalty Area,Touches in Defensive 3rd,Touches in Middle 3rd,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Live Ball Touches,Dribble Success,Dribble Attempted,Dribble Success%,Mis,Ball Lost (Tackled),Passes Received,Progressive Pass Received,Tackles Attempted,Tackles Won,Tackles in Defensive 3rd,Tackles in Middle 3rd,Tackles in Attacking 3rd,Tackle Won (vsDribble),Tackle Attempted (vsDribble),Tackle% (vsDribble),Dribbled Past (vsDribble),Blocks,Shots Blocked,Pass Blocked,Interception,Tackle + Interception,Clearance,Error Leads to Shot
184,Edenílson,br BRA,MF,Internacional,32,1989,31,24,2184,24.3,6,3,3,3,3,3,0,0.25,0.12,0.37,0.12,0.25,6.3,4.0,2.5,3.1,-0.1,7.0,0.26,0.102880658436214,0.13,0.39,0.16,0.29,35,9,25.7,1.44,0.37,0.09,0.33,19.2,2.0,0.11,-0.3,-1.0,946.0,1131.0,83.6,15410.0,4727.0,484.0,532.0,91.0,354.0,405.0,87.4,79.0,127.0,62.2,40.0,110.0,25.0,4.0,90.0,1055.0,71.0,26.0,2.0,10.0,62,11.0,33.0,3.0,27.0,0.0,5.0,17.0,80.0,3.3,55.0,14.0,3.0,5.0,1.0,2.0,9.0,0.37,4.0,0.0,1.0,2.0,1.0,1.0,1355.0,41.0,208.0,773.0,389.0,35.0,1352.0,17.0,39.0,43.6,33.0,27.0,972.0,63.0,38.0,22,16.0,16.0,6.0,17.0,29.0,58.6,12.0,18.0,4.0,14.0,15,53.0,26.0,0.0
185,Eder,br BRA,DF,América (MG),26,1995,33,33,2942,32.7,0,2,0,0,0,6,0,0.0,0.06,0.06,0.0,0.06,0.5,0.5,0.6,0.4,1.6,0.9,0.02,0.018348623853211007,0.01,0.03,0.02,0.03,9,4,44.4,0.28,0.12,0.0,0.0,15.5,0.0,0.06,-0.5,-0.5,899.0,1149.0,78.2,18832.0,8480.0,260.0,299.0,87.0,493.0,565.0,87.3,131.0,247.0,53.0,6.0,76.0,4.0,0.0,68.0,1099.0,45.0,43.0,1.0,16.0,1,2.0,0.0,0.0,0.0,0.0,5.0,6.0,19.0,0.58,13.0,2.0,0.0,0.0,0.0,4.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1467.0,252.0,832.0,620.0,35.0,15.0,1467.0,8.0,13.0,61.5,10.0,5.0,773.0,2.0,23.0,13,16.0,7.0,0.0,14.0,28.0,50.0,14.0,46.0,35.0,11.0,54,77.0,153.0,0.0
189,Edson,br BRA,DFMF,Atl Goianiense,30,1991,17,17,1424,15.8,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.02,0.006329113924050633,0.0,0.02,0.02,0.02,8,2,25.0,0.51,0.13,0.0,0.0,16.8,0.0,0.04,-0.3,-0.3,762.0,869.0,87.7,15563.0,5954.0,230.0,255.0,90.2,434.0,462.0,93.9,91.0,132.0,68.9,1.0,51.0,0.0,0.0,28.0,839.0,29.0,25.0,0.0,9.0,1,4.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,0.63,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,1051.0,166.0,542.0,479.0,32.0,7.0,1051.0,1.0,5.0,20.0,6.0,3.0,693.0,0.0,25.0,15,14.0,11.0,0.0,11.0,19.0,57.9,8.0,29.0,17.0,12.0,27,52.0,77.0,2.0
190,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,14,13,1101,12.2,3,1,3,0,0,3,0,0.25,0.08,0.33,0.25,0.33,2.6,2.6,1.7,2.9,-1.9,5.5,0.21,0.13934426229508198,0.23,0.45,0.21,0.45,21,5,23.8,1.72,0.41,0.14,0.6,14.1,1.0,0.12,0.4,0.4,406.0,489.0,83.0,7361.0,2002.0,184.0,206.0,89.3,154.0,183.0,84.2,58.0,79.0,73.4,15.0,54.0,5.0,1.0,45.0,467.0,21.0,11.0,1.0,6.0,11,3.0,0.0,0.0,0.0,0.0,1.0,6.0,23.0,1.88,17.0,0.0,1.0,2.0,3.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,615.0,18.0,75.0,385.0,161.0,40.0,615.0,16.0,26.0,61.5,25.0,7.0,451.0,34.0,16.0,10,5.0,7.0,4.0,6.0,15.0,40.0,9.0,6.0,1.0,5.0,10,26.0,14.0,1.0
192,Elton,br BRA,MF,Juventude,31,1990,18,12,1163,12.9,0,1,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08,0.8,0.8,0.3,0.4,0.6,1.1,0.06,0.023255813953488372,0.03,0.09,0.06,0.09,11,1,9.1,0.85,0.08,0.0,0.0,17.3,0.0,0.07,-0.8,-0.8,483.0,540.0,89.4,8139.0,2091.0,236.0,252.0,93.7,197.0,208.0,94.7,37.0,53.0,69.8,10.0,41.0,1.0,0.0,27.0,518.0,21.0,20.0,0.0,3.0,0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,21.0,1.63,18.0,0.0,0.0,2.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,662.0,48.0,219.0,380.0,69.0,11.0,662.0,3.0,5.0,60.0,11.0,5.0,421.0,9.0,29.0,18,17.0,10.0,2.0,15.0,25.0,60.0,10.0,14.0,5.0,9.0,20,49.0,20.0,0.0
194,Alan Empereur,br BRA,DF,Cuiabá,27,1994,28,25,2221,24.7,1,0,1,0,0,9,1,0.04,0.0,0.04,0.04,0.04,0.9,0.9,0.2,0.1,-0.1,1.0,0.04,0.008097165991902834,0.0,0.04,0.04,0.04,5,1,20.0,0.2,0.04,0.2,1.0,8.7,0.0,0.19,0.1,0.1,886.0,1065.0,83.2,17332.0,7479.0,310.0,338.0,91.7,467.0,513.0,91.0,101.0,188.0,53.7,3.0,70.0,1.0,0.0,48.0,976.0,84.0,72.0,0.0,15.0,6,10.0,0.0,0.0,0.0,0.0,5.0,11.0,16.0,0.65,12.0,0.0,0.0,1.0,0.0,3.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1261.0,186.0,638.0,603.0,36.0,10.0,1261.0,4.0,7.0,57.1,5.0,1.0,766.0,3.0,18.0,9,12.0,5.0,1.0,5.0,11.0,45.5,6.0,18.0,15.0,3.0,38,56.0,89.0,1.0
196,Erick,br BRA,MF,Atl Paranaense,24,1997,31,20,1849,20.5,3,0,3,0,0,2,0,0.15,0.0,0.15,0.15,0.15,2.8,2.8,0.8,0.9,-0.9,3.7,0.13,0.03902439024390244,0.04,0.18,0.13,0.18,21,8,38.1,1.02,0.39,0.14,0.38,15.8,0.0,0.13,0.2,0.2,574.0,681.0,84.3,10758.0,3103.0,225.0,264.0,85.2,277.0,302.0,91.7,60.0,86.0,69.8,12.0,67.0,5.0,0.0,65.0,650.0,28.0,21.0,1.0,5.0,5,7.0,0.0,0.0,0.0,0.0,3.0,12.0,32.0,1.56,27.0,0.0,1.0,2.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,933.0,68.0,241.0,567.0,132.0,24.0,933.0,17.0,35.0,48.6,17.0,12.0,500.0,26.0,56.0,26,26.0,27.0,3.0,21.0,53.0,39.6,32.0,39.0,16.0,23.0,31,87.0,47.0,0.0
197,Erick,br BRA,FWMF,Ceará,24,1997,24,10,1051,11.7,2,0,1,1,1,5,0,0.17,0.0,0.17,0.09,0.09,2.7,2.0,1.8,2.0,-2.0,4.0,0.24,0.15384615384615385,0.17,0.41,0.17,0.34,31,10,32.3,2.65,0.86,0.03,0.1,20.0,2.0,0.06,-0.7,-1.0,301.0,436.0,69.0,5623.0,1971.0,132.0,167.0,79.0,120.0,168.0,71.4,42.0,73.0,57.5,38.0,28.0,27.0,8.0,51.0,391.0,44.0,6.0,1.0,8.0,62,15.0,22.0,13.0,4.0,0.0,1.0,13.0,80.0,6.86,52.0,7.0,9.0,6.0,6.0,0.0,1.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,587.0,7.0,47.0,221.0,325.0,40.0,586.0,31.0,71.0,43.7,26.0,23.0,442.0,68.0,10.0,5,6.0,3.0,1.0,4.0,19.0,21.1,15.0,11.0,0.0,11.0,5,15.0,5.0,0.0
198,Erison,br BRA,FW,Botafogo (RJ),22,1999,20,17,1483,16.5,7,1,6,1,1,2,0,0.42,0.06,0.49,0.36,0.42,4.7,4.4,0.5,1.3,-0.3,5.7,0.28,0.030303030303030304,0.08,0.36,0.27,0.35,48,20,41.7,2.91,1.21,0.13,0.3,15.8,0.0,0.09,2.3,1.6,130.0,197.0,66.0,1704.0,236.0,78.0,95.0,82.1,40.0,61.0,65.6,1.0,4.0,25.0,15.0,8.0,5.0,0.0,12.0,161.0,36.0,1.0,2.0,1.0,10,1.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,2.43,25.0,1.0,6.0,4.0,4.0,0.0,6.0,0.36,3.0,0.0,0.0,2.0,1.0,0.0,384.0,11.0,16.0,155.0,221.0,74.0,383.0,21.0,40.0,52.5,64.0,24.0,276.0,85.0,4.0,3,0.0,2.0,2.0,2.0,9.0,22.2,7.0,5.0,0.0,5.0,1,5.0,10.0,0.0
200,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,34,31,2610,29.0,2,2,1,1,2,2,1,0.07,0.07,0.14,0.03,0.1,4.5,2.9,1.8,1.4,0.6,4.4,0.16,0.06206896551724138,0.05,0.2,0.1,0.15,47,10,21.3,1.62,0.34,0.02,0.1,21.1,0.0,0.06,-2.5,-1.9,1020.0,1246.0,81.9,16552.0,4579.0,475.0,554.0,85.7,406.0,487.0,83.4,84.0,108.0,77.8,32.0,119.0,16.0,5.0,103.0,1216.0,25.0,14.0,2.0,4.0,29,10.0,0.0,0.0,0.0,0.0,5.0,22.0,87.0,3.0,72.0,0.0,0.0,7.0,6.0,2.0,5.0,0.17,3.0,0.0,0.0,1.0,1.0,0.0,1555.0,56.0,263.0,888.0,420.0,50.0,1553.0,27.0,38.0,71.1,46.0,27.0,1041.0,69.0,60.0,36,22.0,32.0,6.0,28.0,55.0,50.9,27.0,24.0,10.0,14.0,27,87.0,36.0,0.0
201,Everaldo,br BRA,MFFW,América (MG),27,1994,29,25,1892,21.0,4,2,3,1,1,6,0,0.19,0.1,0.29,0.14,0.24,4.0,3.1,3.2,3.3,-1.3,6.4,0.19,0.1523809523809524,0.15,0.34,0.15,0.3,48,17,35.4,2.28,0.81,0.06,0.18,21.6,0.0,0.06,0.0,-0.1,607.0,832.0,73.0,9615.0,2377.0,316.0,372.0,84.9,211.0,282.0,74.8,54.0,95.0,56.8,40.0,48.0,39.0,20.0,53.0,775.0,54.0,10.0,5.0,5.0,117,20.0,22.0,5.0,8.0,0.0,3.0,35.0,94.0,4.47,70.0,6.0,5.0,6.0,5.0,2.0,6.0,0.29,3.0,0.0,0.0,3.0,0.0,0.0,1065.0,7.0,113.0,386.0,586.0,71.0,1064.0,28.0,71.0,39.4,46.0,15.0,759.0,114.0,30.0,17,12.0,10.0,8.0,6.0,33.0,18.2,27.0,21.0,1.0,20.0,16,46.0,7.0,0.0
202,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37,37,3330,37.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,928.0,1161.0,79.9,23776.0,16680.0,193.0,195.0,99.0,456.0,466.0,97.9,274.0,494.0,55.5,2.0,15.0,0.0,0.0,2.0,1018.0,142.0,32.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.14,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,1080.0,1216.0,10.0,0.0,0.0,1225.0,0.0,0.0,,0.0,0.0,770.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,16.0,0.0
206,Fábio,br BRA,GK,Fluminense,41,1980,38,38,3420,38.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,794.0,957.0,83.0,15499.0,10689.0,268.0,271.0,98.9,299.0,308.0,97.1,146.0,295.0,49.5,1.0,3.0,0.0,0.0,0.0,608.0,348.0,64.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,934.0,1035.0,4.0,0.0,0.0,1038.0,0.0,0.0,,0.0,0.0,369.0,0.0,2.0,1,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,2.0,14.0,1.0
207,Fabrício,br BRA,FWMF,Coritiba,24,1997,28,19,1500,16.7,3,4,3,0,0,3,0,0.18,0.24,0.42,0.18,0.42,2.7,2.7,2.4,3.2,0.8,5.9,0.16,0.1437125748502994,0.19,0.35,0.16,0.35,42,10,23.8,2.52,0.6,0.07,0.3,19.8,0.0,0.06,0.3,0.3,295.0,444.0,66.4,4340.0,1198.0,166.0,200.0,83.0,100.0,146.0,68.5,14.0,39.0,35.9,23.0,33.0,16.0,2.0,44.0,421.0,19.0,2.0,4.0,1.0,24,5.0,1.0,1.0,0.0,0.0,4.0,27.0,58.0,3.48,40.0,0.0,4.0,7.0,6.0,1.0,5.0,0.3,4.0,0.0,1.0,0.0,0.0,0.0,675.0,10.0,103.0,317.0,269.0,46.0,675.0,46.0,80.0,57.5,45.0,35.0,490.0,92.0,29.0,19,12.0,16.0,1.0,11.0,24.0,45.8,13.0,22.0,1.0,21.0,7,36.0,13.0,0.0
209,Willian Farias,br BRA,MF,Coritiba,32,1989,21,19,1597,17.7,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,0.6,-0.6,1.0,0.02,0.06214689265536724,0.03,0.05,0.02,0.05,13,0,0.0,0.73,0.0,0.0,,29.5,0.0,0.03,-0.4,-0.4,723.0,829.0,87.2,13860.0,4463.0,282.0,309.0,91.3,326.0,355.0,91.8,98.0,132.0,74.2,14.0,90.0,10.0,0.0,74.0,800.0,26.0,22.0,1.0,11.0,2,4.0,0.0,0.0,0.0,0.0,3.0,8.0,36.0,2.03,31.0,0.0,2.0,0.0,2.0,1.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,987.0,43.0,237.0,673.0,91.0,3.0,987.0,19.0,25.0,76.0,23.0,10.0,657.0,7.0,31.0,21,14.0,15.0,2.0,11.0,35.0,31.4,24.0,16.0,4.0,12.0,19,50.0,24.0,0.0
213,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,23,19,1779,19.8,2,0,2,0,0,3,0,0.1,0.0,0.1,0.1,0.1,0.7,0.7,0.2,0.2,-0.2,0.8,0.03,0.010101010101010102,0.01,0.04,0.03,0.04,6,3,50.0,0.3,0.15,0.33,0.67,13.8,0.0,0.12,1.3,1.3,507.0,638.0,79.5,11295.0,4334.0,118.0,139.0,84.9,303.0,335.0,90.4,84.0,151.0,55.6,6.0,53.0,2.0,1.0,42.0,595.0,40.0,37.0,0.0,13.0,2,3.0,0.0,0.0,0.0,0.0,3.0,6.0,20.0,1.01,16.0,2.0,0.0,2.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,822.0,135.0,393.0,410.0,24.0,7.0,822.0,1.0,1.0,100.0,11.0,0.0,449.0,2.0,26.0,19,17.0,9.0,0.0,15.0,25.0,60.0,10.0,29.0,20.0,9.0,17,43.0,83.0,0.0
214,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,24,20,1677,18.6,2,3,2,0,0,3,0,0.11,0.16,0.27,0.11,0.27,1.5,1.5,2.9,2.6,0.4,4.1,0.08,0.15591397849462363,0.14,0.22,0.08,0.22,45,13,28.9,2.42,0.7,0.04,0.15,26.3,5.0,0.03,0.5,0.5,853.0,1016.0,84.0,13600.0,3794.0,449.0,488.0,92.0,290.0,339.0,85.5,76.0,126.0,60.3,31.0,114.0,14.0,4.0,72.0,909.0,102.0,53.0,2.0,11.0,63,10.0,36.0,14.0,19.0,0.0,5.0,11.0,71.0,3.81,44.0,15.0,4.0,4.0,2.0,2.0,3.0,0.16,1.0,2.0,0.0,0.0,0.0,0.0,1201.0,16.0,94.0,728.0,402.0,15.0,1201.0,24.0,55.0,43.6,34.0,24.0,855.0,55.0,19.0,10,5.0,11.0,3.0,10.0,35.0,28.6,25.0,19.0,5.0,14.0,8,27.0,8.0,0.0
216,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,32,32,2809,31.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,572.0,813.0,70.4,15523.0,11265.0,130.0,131.0,99.2,241.0,246.0,98.0,195.0,428.0,45.6,0.0,4.0,0.0,0.0,0.0,486.0,326.0,91.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,752.0,879.0,8.0,0.0,0.0,886.0,0.0,0.0,,2.0,0.0,260.0,0.0,3.0,1,3.0,0.0,0.0,3.0,6.0,50.0,3.0,0.0,0.0,0.0,2,5.0,13.0,0.0
217,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,34,25,2222,24.7,4,5,3,1,2,7,0,0.16,0.2,0.36,0.12,0.32,6.8,5.2,6.7,5.4,-0.4,10.6,0.27,0.27125506072874495,0.22,0.49,0.21,0.43,42,19,45.2,1.7,0.77,0.07,0.16,19.3,5.0,0.12,-2.8,-2.2,1138.0,1442.0,78.9,17987.0,6018.0,617.0,681.0,90.6,397.0,487.0,81.5,88.0,185.0,47.6,60.0,133.0,41.0,6.0,145.0,1221.0,215.0,67.0,3.0,1.0,154,20.0,122.0,54.0,37.0,1.0,6.0,28.0,125.0,5.07,65.0,44.0,2.0,5.0,9.0,0.0,11.0,0.45,5.0,2.0,1.0,2.0,1.0,0.0,1677.0,14.0,145.0,818.0,732.0,60.0,1675.0,17.0,33.0,51.5,46.0,38.0,1194.0,130.0,47.0,24,14.0,18.0,15.0,21.0,70.0,30.0,49.0,32.0,2.0,30.0,21,68.0,7.0,0.0
218,Rodrigo Fernández,uy URU,MF,Santos,26,1996,29,28,2309,25.7,0,0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,0.5,-0.5,1.0,0.02,0.04669260700389105,0.02,0.04,0.02,0.04,15,2,13.3,0.58,0.08,0.0,0.0,27.1,0.0,0.04,-0.5,-0.5,1058.0,1274.0,83.0,20191.0,6072.0,408.0,451.0,90.5,514.0,581.0,88.5,123.0,194.0,63.4,9.0,119.0,15.0,2.0,99.0,1226.0,45.0,40.0,2.0,10.0,17,5.0,0.0,0.0,0.0,0.0,3.0,20.0,48.0,1.87,35.0,1.0,3.0,1.0,0.0,8.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,1526.0,56.0,344.0,1049.0,162.0,5.0,1526.0,27.0,48.0,56.3,27.0,15.0,933.0,10.0,89.0,52,43.0,40.0,6.0,50.0,130.0,38.5,80.0,27.0,5.0,22.0,20,109.0,32.0,0.0
221,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,29,23,1742,19.4,2,4,2,0,0,7,2,0.1,0.21,0.31,0.1,0.31,4.2,4.2,2.5,2.0,2.0,6.2,0.22,0.1288659793814433,0.1,0.32,0.22,0.32,50,15,30.0,2.58,0.77,0.04,0.13,15.9,0.0,0.08,-2.2,-2.2,385.0,514.0,74.9,5845.0,1438.0,215.0,265.0,81.1,120.0,148.0,81.1,30.0,42.0,71.4,24.0,23.0,14.0,4.0,36.0,499.0,15.0,4.0,3.0,5.0,25,3.0,2.0,0.0,1.0,0.0,0.0,24.0,54.0,2.79,44.0,1.0,3.0,4.0,2.0,0.0,5.0,0.26,5.0,0.0,0.0,0.0,0.0,0.0,735.0,29.0,122.0,294.0,323.0,93.0,735.0,20.0,53.0,37.7,29.0,19.0,501.0,89.0,17.0,10,9.0,6.0,2.0,4.0,17.0,23.5,13.0,12.0,1.0,11.0,11,28.0,18.0,0.0
225,Rafael Forster,br BRA,DF,Juventude,31,1990,19,19,1631,18.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,0.1,-0.1,0.8,0.03,0.027624309392265192,0.01,0.04,0.03,0.04,11,4,36.4,0.61,0.22,0.0,0.0,25.0,4.0,0.06,-0.6,-0.6,738.0,939.0,78.6,16622.0,8313.0,188.0,217.0,86.6,417.0,469.0,88.9,130.0,231.0,56.3,4.0,58.0,6.0,0.0,43.0,860.0,76.0,65.0,0.0,10.0,7,4.0,0.0,0.0,0.0,0.0,3.0,7.0,17.0,0.94,11.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,174.0,707.0,388.0,48.0,12.0,1125.0,10.0,15.0,66.7,10.0,3.0,661.0,4.0,25.0,18,18.0,4.0,3.0,15.0,27.0,55.6,12.0,17.0,13.0,4.0,26,51.0,82.0,0.0
228,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,36,27,2475,27.5,4,3,3,1,2,2,0,0.15,0.11,0.25,0.11,0.22,3.3,1.8,2.8,2.8,0.2,4.5,0.12,0.10181818181818181,0.1,0.22,0.06,0.17,31,6,19.4,1.13,0.22,0.1,0.5,25.5,0.0,0.06,0.7,1.2,1563.0,1848.0,84.6,32864.0,8940.0,529.0,592.0,89.4,720.0,805.0,89.4,291.0,382.0,76.2,39.0,231.0,41.0,3.0,173.0,1787.0,52.0,36.0,7.0,27.0,23,14.0,1.0,0.0,1.0,0.0,9.0,23.0,106.0,3.85,99.0,2.0,0.0,4.0,0.0,1.0,8.0,0.29,7.0,0.0,0.0,1.0,0.0,0.0,2066.0,75.0,428.0,1216.0,434.0,29.0,2064.0,9.0,11.0,81.8,23.0,9.0,1566.0,62.0,46.0,29,24.0,17.0,5.0,24.0,55.0,43.6,31.0,29.0,15.0,14.0,27,73.0,32.0,1.0
231,Gabriel,br BRA,MF,Internacional,29,1992,26,24,2144,23.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.5,-0.5,0.9,0.02,0.04201680672268907,0.02,0.04,0.02,0.04,11,1,9.1,0.46,0.04,0.0,0.0,26.5,0.0,0.04,-0.4,-0.4,1267.0,1423.0,89.0,20907.0,5968.0,630.0,701.0,89.9,498.0,533.0,93.4,108.0,125.0,86.4,9.0,122.0,12.0,3.0,96.0,1366.0,55.0,49.0,0.0,11.0,8,6.0,0.0,0.0,0.0,0.0,2.0,20.0,39.0,1.64,32.0,1.0,0.0,1.0,0.0,5.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1667.0,56.0,347.0,1123.0,214.0,8.0,1667.0,4.0,10.0,40.0,13.0,10.0,1111.0,13.0,93.0,58,36.0,49.0,8.0,37.0,77.0,48.1,40.0,34.0,9.0,25.0,44,137.0,45.0,0.0
232,Gabriel,br BRA,GK,Coritiba,29,1992,13,13,1170,13.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,275.0,382.0,72.0,8055.0,5879.0,53.0,53.0,100.0,130.0,132.0,98.5,92.0,196.0,46.9,1.0,3.0,0.0,0.0,0.0,230.0,151.0,47.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,345.0,412.0,3.0,0.0,0.0,415.0,0.0,0.0,,0.0,0.0,129.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,7.0,0.0
234,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33,33,2969,33.0,1,1,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,1.6,1.6,0.2,0.6,0.4,2.2,0.05,0.006060606060606061,0.02,0.07,0.05,0.07,19,6,31.6,0.58,0.18,0.05,0.17,10.7,0.0,0.08,-0.6,-0.6,1329.0,1538.0,86.4,25076.0,8959.0,442.0,478.0,92.5,764.0,833.0,91.7,111.0,191.0,58.1,4.0,41.0,2.0,0.0,62.0,1486.0,52.0,49.0,0.0,7.0,0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.36,4.0,0.0,0.0,3.0,2.0,3.0,3.0,0.09,0.0,0.0,0.0,2.0,1.0,0.0,1878.0,294.0,946.0,887.0,50.0,34.0,1878.0,6.0,9.0,66.7,9.0,3.0,1233.0,7.0,34.0,17,25.0,8.0,1.0,12.0,20.0,60.0,8.0,55.0,39.0,16.0,49,83.0,147.0,1.0
240,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,19,15,1346,15.0,7,1,7,0,1,5,0,0.47,0.07,0.53,0.47,0.53,5.5,4.8,0.9,1.4,-0.4,6.1,0.37,0.060000000000000005,0.09,0.46,0.32,0.41,38,19,50.0,2.54,1.27,0.18,0.37,16.8,0.0,0.13,1.5,2.2,216.0,352.0,61.4,3276.0,1004.0,109.0,162.0,67.3,73.0,111.0,65.8,18.0,33.0,54.5,15.0,26.0,8.0,0.0,37.0,323.0,23.0,0.0,3.0,1.0,10,3.0,1.0,0.0,0.0,0.0,6.0,14.0,45.0,3.01,28.0,0.0,7.0,5.0,4.0,1.0,5.0,0.33,1.0,0.0,4.0,0.0,0.0,0.0,528.0,20.0,63.0,234.0,239.0,53.0,527.0,24.0,43.0,55.8,39.0,17.0,352.0,67.0,13.0,7,2.0,6.0,5.0,1.0,16.0,6.3,15.0,8.0,0.0,8.0,6,19.0,18.0,0.0
