Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
450,Moisés,br BRA,DF,Internacional,26,1995,6.5,390,21,111,190,96,14,390,10,17,58.8,8,4,238,18,Matches,a40af810
451,Moises,br BRA,FWMF,Fortaleza,25,1996,25.0,872,23,85,321,487,108,872,65,126,51.6,61,37,610,150,Matches,ddd07a25
452,Rodrigo Moledo,br BRA,DF,Internacional,34,1987,13.5,708,110,350,329,33,26,708,1,4,25.0,9,2,423,1,Matches,ce536c37
453,Jacob Montes,us USA,MF,Botafogo (RJ),23,1998,1.0,34,0,6,14,14,2,34,1,2,50.0,2,2,25,4,Matches,69678c84
454,Moraes,br BRA,DFMF,Juventude,24,1997,15.2,877,55,294,358,240,21,877,17,41,41.5,21,17,443,40,Matches,9b974a99
455,Airton Moraes,br BRA,GK,América (MG),27,1994,1.0,30,26,30,0,0,0,30,0,0,,0,0,6,0,Matches,5e8682b0
456,Júnior Moraes,ua UKR,FW,Corinthians,34,1987,4.5,119,0,6,59,56,14,119,2,7,28.6,14,5,81,21,Matches,c43e5e7e
457,Wesley Moraes,br BRA,FW,Internacional,25,1996,3.3,115,5,9,46,60,16,115,6,7,85.7,7,4,92,20,Matches,bfae110f
458,Morato,br BRA,FWMF,Avaí,29,1992,7.3,313,6,37,129,150,16,313,16,27,59.3,29,15,247,39,Matches,96b49b3b
459,João Moreira,pt POR,DF,São Paulo,17,2004,3.2,212,4,40,84,89,7,212,10,16,62.5,8,6,148,18,Matches,b3be99e3
460,Lucas Moreira,br BRA,MFFW,Cuiabá,21,2000,1.4,82,0,9,27,48,7,82,0,4,0.0,4,2,62,11,Matches,b9d412ff
461,Gustavo Mosquito,br BRA,FWMF,Corinthians,24,1997,12.6,506,12,73,208,230,46,506,17,45,37.8,21,15,384,68,Matches,c9ed46c4
462,Hugo Moura,br BRA,MF,Atl Paranaense,24,1998,19.4,996,47,262,636,114,9,996,9,14,64.3,23,7,609,12,Matches,14100165
463,Alex Muralha,br BRA,GK,Coritiba,32,1989,19.0,539,460,536,3,0,0,539,0,0,,0,0,145,0,Matches,38082f12
464,Muriqui,br BRA,FWMF,Avaí,35,1986,14.3,506,5,43,271,197,37,504,8,27,29.6,25,12,372,85,Matches,a55ac46c
465,Andrey Ramos do Nascimento,br BRA,MF,Coritiba,23,1998,5.4,355,8,53,216,93,8,355,8,13,61.5,12,6,242,12,Matches,eb55ab5a
466,Matheus Nascimento,br BRA,FWMF,Botafogo (RJ),17,2004,6.8,219,8,16,100,105,28,219,7,14,50.0,24,14,149,41,Matches,e744c3de
467,Natan,br BRA,DF,Bragantino,20,2001,32.0,1763,220,858,851,66,22,1763,11,15,73.3,7,7,1189,5,Matches,94bccc82
468,Natanael,br BRA,DF,Coritiba,20,2002,16.0,854,64,285,333,244,12,854,13,30,43.3,23,11,423,27,Matches,0b618504
469,Natanael,br BRA,DFFW,Avaí,31,1990,13.4,659,37,182,248,237,17,659,10,23,43.5,15,9,344,41,Matches,ed560575
470,Léo Natel,br BRA,FW,Corinthians,24,1997,0.3,15,0,0,6,9,1,15,0,0,,0,2,12,4,Matches,cd8d04a2
471,Nathan,br BRA,DF,Santos,20,2001,6.9,428,19,115,229,93,3,428,13,30,43.3,4,8,242,6,Matches,9fb6420e
472,Nathan,br BRA,MF,Goiás,20,2001,0.0,3,0,0,2,1,0,3,0,0,,0,0,2,0,Matches,eb61284b
473,Nathan,br BRA,MFFW,Fluminense,25,1996,10.7,698,19,93,262,345,31,698,13,22,59.1,22,10,508,64,Matches,fa00f0c9
474,Nathan,br BRA,DF,Coritiba,19,2002,5.0,267,20,76,128,66,8,267,5,12,41.7,9,4,127,8,Matches,c5aa7b35
475,Nathan,br BRA,FWMF,Avaí,22,1999,1.1,32,0,2,13,18,8,32,0,0,,3,1,22,7,Matches,e0d5a5e9
476,Rafael Navarro,br BRA,FWMF,Palmeiras,21,2000,8.0,218,3,16,79,130,46,218,9,13,69.2,30,12,137,38,Matches,4b5ab509
477,Kaiky Naves,br BRA,DFMF,Palmeiras,19,2002,0.4,22,4,10,11,1,0,22,0,0,,0,0,15,0,Matches,621576f9
478,Bruno Nazário,br BRA,MF,Juventude,26,1995,6.5,364,3,42,173,154,17,364,8,20,40.0,16,7,250,30,Matches,dc1d79a5
479,Neílton,br BRA,FWDF,Coritiba,27,1994,0.9,53,1,3,36,14,1,53,1,4,25.0,1,1,37,4,Matches,689299a6
